element,n_train,n_test,test_frac,RMSE,MAE,R2
Pu,4843,71,0.014448514448514449,0.33428154068634897,0.26853144224442077,0.6694378289573328
Pb,4800,114,0.0231990231990232,0.2562942577369703,0.1898067443069812,0.6497863625733864
Ba,4778,136,0.027676027676027677,0.2864299412962604,0.18264435050903446,0.6437687035892173
Sr,4772,142,0.028897028897028897,0.32133935132546015,0.21019675628316667,0.6393338741747343
V,4781,133,0.027065527065527065,0.3079317266959371,0.23743446100679605,0.6302787572465418
Zr,4774,140,0.02849002849002849,0.3416393160283324,0.2185897000818801,0.62744054003263
Cu,4773,141,0.028693528693528692,0.32150712697434675,0.22251452299316232,0.6235594065832539
Te,4773,141,0.028693528693528692,0.3078369352927849,0.21357007084599305,0.6111241725533749
Mn,4774,140,0.02849002849002849,0.2979287229451531,0.2255014993183104,0.6082474390637341
Sb,4771,143,0.0291005291005291,0.29926326647070206,0.22897461549655676,0.5954969333216729
Cd,4776,138,0.028083028083028084,0.354364995018073,0.2624271462764806,0.5866314839070953
Tl,4771,143,0.0291005291005291,0.2896481931998523,0.22072316088049093,0.5798327996588609
In,4788,126,0.02564102564102564,0.32027783878018456,0.231436588504232,0.5743804325151973
Ca,4803,111,0.022588522588522588,0.3364943148351147,0.2126030881883496,0.5568952584351927
U,4795,119,0.024216524216524215,0.3104435190580956,0.24682557063557678,0.536263628578907
Ag,4772,142,0.028897028897028897,0.33628854397653724,0.25752751147324127,0.5301782919350133
Cr,4782,132,0.026862026862026864,0.3716082525633405,0.2323264629609045,0.5289634457168991
Hf,4776,138,0.028083028083028084,0.4350891086141015,0.35139896081305316,0.4924862822330076
Na,4774,140,0.02849002849002849,0.384264113435567,0.2545220635123906,0.48935393671993377
Hg,4772,142,0.028897028897028897,0.43337878636822724,0.3217483701030708,0.4820476620871791
Ga,4772,142,0.028897028897028897,0.3695784947647519,0.26222863953972997,0.4725324641582729
Sn,4778,136,0.027676027676027677,0.2964354759331816,0.23538543473424411,0.47237733359321865
Si,4770,144,0.029304029304029304,0.5571743550291369,0.4204336306573764,0.4519361978711889
Sc,4776,138,0.028083028083028084,0.3863521624365507,0.2971874923664901,0.450492511781863
Mg,4776,138,0.028083028083028084,0.4041165186627432,0.33455965901203305,0.413662542685448
Np,4808,106,0.02157102157102157,0.3708098730924222,0.2916348091884067,0.41152386019517506
Ge,4778,136,0.027676027676027677,0.35302275424466334,0.2571296699357206,0.39412937440583196
Au,4773,141,0.028693528693528692,0.44717022684029806,0.3455010001191384,0.38630588416429934
Yb,4773,141,0.028693528693528692,0.3805966837769386,0.28345096701751876,0.3802194138466759
Li,4772,142,0.028897028897028897,0.41058470474382985,0.30631386666819055,0.37496957261772135
Cs,4817,97,0.01973951973951974,0.6113241022884811,0.30719238805620597,0.3733607215761592
Al,4772,142,0.028897028897028897,0.48815423640973815,0.4088830371096216,0.34982251346999793
Be,4770,144,0.029304029304029304,0.5538204239215855,0.4037478738513274,0.34557515809058204
Pa,4799,115,0.0234025234025234,0.39942177086311065,0.29934932818041704,0.3339685593494548
Os,4777,137,0.02787952787952788,0.5452587928418177,0.2880589093170263,0.3166574024359349
As,4770,144,0.029304029304029304,0.4219013607392896,0.3034212281090266,0.28158530552018335
Th,4776,138,0.028083028083028084,0.40446100346132274,0.3178601012702699,0.2705330160094518
Eu,4773,141,0.028693528693528692,0.36640142687933586,0.2879274234876141,0.2699456750403536
Rb,4778,136,0.027676027676027677,0.7079364933949339,0.4532981726333362,0.09914823577245224
B,4771,143,0.0291005291005291,0.8644480678521298,0.7143882851324559,-0.12154143660862671
Ac,4777,137,0.02787952787952788,0.5533350092722883,0.42414663690345805,-0.20175727057934134
