element,n_train,n_test,test_frac,RMSE,MAE,R2
U,4795,119,0.024216524216524215,0.3442840536283816,0.2828215005281289,0.6125536853784015
Eu,4773,141,0.028693528693528692,0.44864764146627545,0.36684666419387535,0.6061741860334579
Cs,4817,97,0.01973951973951974,0.6448405654755714,0.3843854048144485,0.5971647201143366
Sn,4778,136,0.027676027676027677,0.4127788660098063,0.35670699304021236,0.5906623087625076
Yb,4773,141,0.028693528693528692,0.48274503101266963,0.3783295467096251,0.5860724022915865
Te,4773,141,0.028693528693528692,0.43237214836374177,0.3723553232449393,0.4828587348415343
B,4771,143,0.0291005291005291,0.7560099441443192,0.6222370797783555,0.46750609972630985
Pa,4799,115,0.0234025234025234,0.4427272578304421,0.3531536985632671,0.42974328010027507
Si,4770,144,0.029304029304029304,0.7228350911425585,0.560588151342338,0.37156746203792024
Hg,4772,142,0.028897028897028897,0.6868874068954346,0.5788075221215151,0.3566222265362724
Ac,4777,137,0.02787952787952788,0.5368948674543318,0.4134349487695438,0.33037501069078457
Os,4777,137,0.02787952787952788,0.7220050052308579,0.45919846231177325,0.274650737660042
Al,4772,142,0.028897028897028897,0.8571094208393044,0.7281021497627665,0.24614069848408382
Pb,4800,114,0.0231990231990232,0.5509188718202481,0.464755376171856,0.22390228655468358
